Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10,Level_11,Level_12,Level_13,FileCount,PercentFiles,BaseFileName
GraphProperties,GraphLayout,Frame,BorderWidth,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,BorderEffect,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,Mode,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,Luminosity,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,FillDirection,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,FillPattern,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,Col,Red,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,Col,Green,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,Col,Blue,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,Col,Alpha,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,IsCalculated,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,PrimaryCol,ColorExpr,v,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,Col,Red,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,Col,Green,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,Col,Blue,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,Col,Alpha,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,IsCalculated,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,SecondaryCol,ColorExpr,v,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Color,Alpha,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,FontName,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,PointSize1000,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,Underline,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,Bold,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,Italic,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,DropShadow,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Font,AntiAlias,OBSOLETE,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,FontName,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,PointSize1000,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,Underline,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,Bold,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,Italic,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,DropShadow,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CaptionFont,AntiAlias,OBSOLETE,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Name,v,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,InternalCtlNo,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Rect,Left,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Rect,Top,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Rect,Width,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Rect,Height,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Bmp,OBSOLETE,@enctype,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,BmpMode,OBSOLETE,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,MinimizedRect,Left,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,MinimizedRect,Top,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,MinimizedRect,Width,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,MinimizedRect,Height,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ShowMode,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,Detached,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,AllowMinimize,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,AutoMinimize,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,AllowMaximize,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,AllowInfo,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,PrintIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,CopyIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,XLIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,SearchIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,SelectPossibleIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,SelectExcludedIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,SelectAllIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ClearIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ClearOtherIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,LockIcon,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,HelpText,v,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ObjectId,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ZedLevel,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ShrinkFrameToData,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ShowCaption,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,MultiLine,,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ActiveBgColor,Mode,,,,,,,,,1,4.55,CH
GraphProperties,GraphLayout,Frame,ActiveBgColor,Luminosity,,,,,,,,,1,4.55,CH
